fecha,abrir,max,min,cerrar,cierre_ajustado,volumen
"Mar 24, 2025",0212740,0216970,0210321,0216415,0216415,699506
"Mar 23, 2025",0209941,0214762,0208592,0212728,0212728,543477
"Mar 22, 2025",0206307,0213991,0206272,0209941,0209941,527431
"Mar 21, 2025",0211360,0213117,0203800,0206306,0206306,1028770
"Mar 20, 2025",0220134,0220693,0210122,0211370,0211370,2428683
"Mar 19, 2025",0211679,0220736,0211459,0220123,0220123,3499274
"Mar 18, 2025",0214674,0214674,0203646,0211679,0211679,3453436
"Mar 17, 2025",0209632,0219411,0209632,0214674,0214674,3773385
"Mar 16, 2025",0218911,0219305,0207576,0209632,0209632,4368796
"Mar 15, 2025",0215027,0219289,0214473,0218911,0218911,16790231
"Mar 14, 2025",0211009,0218082,0210400,0215031,0215031,16459561
"Mar 13, 2025",0216597,0219402,0206694,0211009,0211009,4157863
"Mar 12, 2025",0215682,0222957,0209694,0216597,0216597,6763899
"Mar 11, 2025",0207212,0219071,0196799,0215682,0215682,2582438
"Mar 10, 2025",0220611,0231342,0203864,0207212,0207212,3327258
"Mar 9, 2025",0245764,0246761,0220103,0220586,0220586,6966584
"Mar 8, 2025",0241223,0247036,0237571,0245764,0245764,4895501
"Mar 7, 2025",0250563,0251573,0237253,0241223,0241223,8290476
"Mar 6, 2025",0256272,0259887,0245759,0250563,0250563,3971244
"Mar 5, 2025",0248812,0269453,0246674,0256290,0256290,3003888
"Mar 4, 2025",0255255,0256198,0230967,0248828,0248828,12888501
"Mar 3, 2025",0303382,0303573,0251371,0255255,0255255,16777706
"Mar 2, 2025",0282454,0310407,0275940,0303382,0303382,10770065
"Mar 1, 2025",0272012,0284785,0265877,0282461,0282461,5569465
"Feb 28, 2025",0276993,0277094,0255511,0272012,0272012,9828943
"Feb 27, 2025",0272875,0286798,0270435,0276993,0276993,5729117
"Feb 26, 2025",0272452,0281769,0264914,0272875,0272875,14336073
"Feb 25, 2025",0266314,0274812,0250350,0272477,0272477,12401083
"Feb 24, 2025",0295790,0297293,0266116,0266314,0266314,3580893
"Feb 23, 2025",0298402,0299962,0291183,0295790,0295790,2113545
"Feb 22, 2025",0293597,0304599,0292259,0298402,0298402,2166193
"Feb 21, 2025",0307575,0315924,0289883,0293597,0293597,5444477
"Feb 20, 2025",0301112,0308696,0299595,0307575,0307575,4428925
"Feb 19, 2025",0301954,0308059,0298170,0301112,0301112,6543085
"Feb 18, 2025",0319517,0319956,0292679,0301954,0301954,6565144
"Feb 17, 2025",0325240,0333216,0313504,0319517,0319517,5029683
"Feb 16, 2025",0318147,0330873,0315779,0325163,0325163,4359951
"Feb 15, 2025",0323120,0327011,0315733,0318147,0318147,2984398
"Feb 14, 2025",0316826,0328791,0316427,0323120,0323120,6462534
"Feb 13, 2025",0328698,0330223,0312253,0316826,0316826,5275584
"Feb 12, 2025",0307736,0331378,0300382,0328698,0328698,8190191
"Feb 11, 2025",0312141,0328259,0304546,0307735,0307735,6626287
"Feb 10, 2025",0303632,0312602,0294946,0312141,0312141,6259962
"Feb 9, 2025",0308639,0318251,0293332,0303632,0303632,5504905
"Feb 8, 2025",0298018,0309110,0297133,0308650,0308650,5167088
"Feb 7, 2025",0296988,0319145,0290420,0298018,0298018,4686437
"Feb 6, 2025",0311168,0319833,0295362,0296988,0296988,16175335
"Feb 5, 2025",0313412,0323849,0307997,0311168,0311168,11038510
"Feb 4, 2025",0342508,0342995,0303412,0313412,0313412,5008270
"Feb 3, 2025",0332225,0351731,0282928,0342508,0342508,15466140
"Feb 2, 2025",0375396,0384889,0320569,0332271,0332271,14589214
"Feb 1, 2025",0407205,0412549,0374523,0375396,0375396,4331421
"Jan 31, 2025",0412675,0422958,0402096,0407197,0407197,4927336
"Jan 30, 2025",0395487,0419625,0392707,0412675,0412675,5862865
